Gene,mean_log2FC,combined_p,adj_p
ANGPTL4,1.092685966799218,6.187007705807012e-05,0.00038311855409035726
BCL11B,-1.1708747494366396,3.5961338377103806e-05,0.00024378002015636686
CACNB4,-0.9483616580900209,4.403444708322588e-15,1.7723864950998415e-12
CAMK4,-0.8948991418577913,1.1688421631261909e-07,2.0234794436915777e-06
CHRM3,-0.996131315136625,9.10446450690362e-05,0.0005235067091469581
CP,1.0303713790885531,1.446006385054381e-08,3.581646584519313e-07
DNALI1,1.1189719171166657,4.889371460688935e-07,6.839643814999727e-06
EGR1,-0.9362954226932798,5.810150587370805e-09,1.6704182938691066e-07
FGF14,-0.9257379326281097,7.562098351145217e-10,3.0437445863359503e-08
GABRD,-1.073400500753274,8.057386278560515e-06,6.974404251872274e-05
GFAP,1.1577179597152008,8.054376256289561e-13,1.2350043592977328e-10
GRAMD3,1.0178655283373566,5.2397561934899823e-08,1.010300295990284e-06
GREM2,-0.9071661230404494,4.516675348349598e-08,8.868106476637625e-07
GRIA3,-0.8720448497695985,6.148455314907211e-08,1.1607289224533996e-06
ITPKB,1.0366877921899,3.82663026483725e-12,3.422708181326651e-10
KCNAB1,-0.8539451157434185,4.869476904523405e-13,8.252481911876508e-11
KCNIP2,-0.9483895044985436,2.7149524441600023e-12,2.8200473774823253e-10
KCNN3,0.8929843532135756,8.99396528027218e-05,0.0005218120396842599
LDB2,-0.9113173968884428,5.665331496515032e-05,0.0003569934915612212
MCTP1,-0.9877969486598662,2.743150426744631e-11,1.7665888748235424e-09
MMD,-0.9395434585906196,8.233950106466852e-09,2.1911834167622532e-07
MYT1L,-0.8655828824139933,2.7867381423032334e-08,5.903484748826586e-07
NETO2,-0.9514275984191324,4.7732226218970693e-17,3.8424442106271407e-14
PAK3,-0.8573537097932805,0.00020556604668150915,0.0010464865331680064
PENK,-0.9713131539804459,5.418180858456434e-05,0.0003445011418945147
PRKCG,-0.9115303365042827,6.670428248634814e-10,2.753689610333859e-08
PRMT8,-0.9154448349572286,2.8493221983641584e-20,9.174817478732589e-17
RFX4,0.9306518288928703,6.309643067082844e-08,1.1812238765120206e-06
SCN2B,-1.0028502455018948,3.269132030516325e-11,2.0640402231887386e-09
SLC14A1,1.476523120230951,5.576198576762764e-09,1.6175999474933423e-07
SLC7A2,1.4587416487998235,1.1762508748029894e-11,8.608017765603695e-10
SLC9A7,-0.9904786943971556,4.2892614456580605e-11,2.5576707138923993e-09
SYT17,0.9742232366057504,3.875027391342495e-06,3.899246312538386e-05
TNC,0.8714435188423358,1.851691718100948e-05,0.00014196303172107268
TPBG,-1.2517156637301918,1.6079115728506897e-08,3.828230545681954e-07
