Gene,SHAP_Importance
GRIA3,1.2201212427110546
CHRM3,1.0054667568616134
GABRD,0.6392100683322551
SLC14A1,0.5589883609571067
MMD,0.5106771460872415
SYT17,0.46936244526579185
EGR1,0.44716064601152977
SLC9A7,0.4177787561194076
BCL11B,0.3882167264263295
FGF14,0.3543230358750454
PRKCG,0.32031702602009476
CACNB4,0.31782552834664446
ANGPTL4,0.2649639266037629
KCNAB1,0.24652172024233607
KCNN3,0.23399060357040122
MCTP1,0.2240088797027256
SLC7A2,0.20402365720528734
CAMK4,0.19530864657764854
PENK,0.160646715527383
GFAP,0.15319524388870534
PAK3,0.14683279832732155
MYT1L,0.1356674184199813
NETO2,0.1333476386333349
TPBG,0.12426689493838063
GRAMD3,0.12130597752063885
KCNIP2,0.11377804702600655
RFX4,0.09544656447797167
LDB2,0.06542786723332976
DNALI1,0.04556701153745012
SCN2B,0.02932790839980181
PRMT8,0.028458316013116734
GREM2,0.02830298087722598
CP,0.009012480401874245
ITPKB,0.002311665552200705
TNC,0.0
