Gene,SHAP_Importance
GFAP,0.02472777297864822
PRMT8,0.02456726347162571
GRIA3,0.024442226032517958
EGR1,0.02433565117340848
SLC14A1,0.023416807569152542
NETO2,0.02233322764602798
SLC9A7,0.02017972776611696
SYT17,0.019739392250547966
MMD,0.019307949240743714
KCNAB1,0.01904670008170023
CACNB4,0.017410969408611487
ITPKB,0.017154348069015876
CP,0.017110342081884482
BCL11B,0.016818392790189044
RFX4,0.016330006186610745
KCNIP2,0.015946568553722954
TPBG,0.01585939365400766
GABRD,0.015348820373305455
PAK3,0.014699468587813777
KCNN3,0.014084770501087257
FGF14,0.013805253432998226
PRKCG,0.013521576009134844
SLC7A2,0.013232159682092827
MCTP1,0.012058357379257471
CAMK4,0.011776370635558836
CHRM3,0.011266065113484141
PENK,0.01123560645227953
SCN2B,0.011017659918932181
GRAMD3,0.01015538187018529
TNC,0.009091151771332791
GREM2,0.008897232512524906
ANGPTL4,0.007446134352909531
MYT1L,0.00737117262599944
DNALI1,0.007115018004745006
LDB2,0.007035448062510971
