Gene,ExtraTrees_Score,SVM_Score,LogReg_Score,ElasticNet_Score,Stacked_Score,Final_Consensus_Score
GRIA3,0.0244422260325179,0.036799662175106,1.187052486670105,1.2201212427110546,0.0357095031090837,0.5008250241395735
CHRM3,0.0112660651134841,0.0005407541840247,1.0409357030679418,1.0054667568616134,0.003988035043144,0.4124394628540416
GABRD,0.0153488203733054,0.0130579311903889,0.6497232973373485,0.6392100683322551,0.0151211414734,0.2664922517413396
SLC14A1,0.0234168075691525,0.0361587977529399,0.5835727486922248,0.5589883609571067,0.0283263411705542,0.24609261122839557
MMD,0.0193079492407437,0.0154294359220964,0.512265262023973,0.5106771460872415,0.0167761980325263,0.2148911982613162
SYT17,0.0197393922505479,0.0138786149933278,0.4882248385746321,0.4693624452657918,0.0345207842034214,0.2051452150575442
EGR1,0.0243356511734084,0.0408161471165327,0.4628958294823681,0.4471606460115297,0.032814746853379,0.20160460412744358
SLC9A7,0.0201797277661169,0.0227245367705592,0.4513543118698112,0.4177787561194076,0.0155979114773227,0.18552704880064352
BCL11B,0.016818392790189,0.0097523528277991,0.4042763044863737,0.3882167264263295,0.0151201592440109,0.16683678715494044
FGF14,0.0138052534329982,0.0020683394557325,0.3881739666852848,0.3543230358750454,0.0048490036979569,0.15264391982940356
CACNB4,0.0174109694086114,0.0204279844503271,0.3435037336570598,0.3178255283466444,0.0178013113078659,0.14339390543410171
PRKCG,0.0135215760091348,0.007097255916424,0.3455538102275252,0.3203170260200947,0.0043166770831355,0.13816126905126286
ANGPTL4,0.0074461343529095,0.0034807001701111,0.2891003323422731,0.2649639266037629,0.0067761753041632,0.11435345375464397
KCNN3,0.0140847705010872,0.0067246272470023,0.3062321103922619,0.2339906035704012,0.0040815204141294,0.11302272642497639
KCNAB1,0.0190467000817002,0.0121916467165113,0.2618472591199712,0.246521720242336,0.0132430833055789,0.11057008189321951
MCTP1,0.0120583573792574,0.0014097695478608,0.2569689466010758,0.2240088797027256,0.0032467555173956,0.09953854174966303
SLC7A2,0.0132321596820928,0.0242032158249338,0.218066399769163,0.2040236572052873,0.0109379093734907,0.09409266837099353
CAMK4,0.0117763706355588,8.696807775173896e-05,0.2409897733171387,0.1953086465776485,0.0013237989472905,0.08989711151107764
GFAP,0.0247277729786482,0.0228549054573041,0.1708953481497899,0.1531952438887053,0.0250784858995489,0.0793503512747993
PAK3,0.0146994685878137,0.0054232898867375,0.2176431932090266,0.1468327983273215,0.0095631619066098,0.0788323823835018
PENK,0.0112356064522795,0.0054407732454884,0.1695961863637229,0.160646715527383,0.0034726886305048,0.07007839404387571
NETO2,0.0223332276460279,0.0004970513470363,0.1706559642219771,0.1333476386333349,0.0121985933076926,0.06780649503121375
GRAMD3,0.0101553818701852,0.0004702708881536,0.1916824712895559,0.1213059775206388,0.0013755842608707,0.06499793716588084
KCNIP2,0.0159465685537229,0.0026758448174031,0.1600267434011205,0.1137780470260065,0.0087585411205002,0.060237148983750634
TPBG,0.0158593936540076,0.0031349541944877,0.1544713077049535,0.1242668949383806,0.0018464863881256,0.059915807375991004
MYT1L,0.0073711726259994,0.0011028231129346,0.1513178941389807,0.1356674184199813,0.0009240935036041,0.059276680360300024
RFX4,0.0163300061866107,0.0072531347781994,0.1176751297752727,0.0954465644779716,0.0113674680263565,0.04961446064888218
LDB2,0.0070354480625109,0.0012611799339424,0.0877436565573892,0.0654278672333297,0.0031103792935202,0.03291570621613848
PRMT8,0.0245672634716257,0.0106657222680571,0.0433767998746047,0.0284583160131167,0.0139207636558609,0.024197773056653018
DNALI1,0.007115018004745,0.00033451861399,0.0673768982570135,0.0455670115374501,0.0005178506555174,0.0241822594137432
SCN2B,0.0110176599189321,0.0001423699727217,0.0761836789712343,0.0293279083998018,0.0021311555873942,0.02376055457001682
GREM2,0.0088972325125249,0.0021053010368044,0.0514752310474628,0.0283029808772259,0.0022398884316099,0.01860412678112558
ITPKB,0.0171543480690158,0.0070610697512448,0.0521261950183645,0.0023116655522007,0.0094784774390929,0.01762635116598374
CP,0.0171103420818844,0.0132676781820098,0.0226105206875099,0.0090124804018742,0.0106998382084814,0.01454017191235194
TNC,0.0090911517713327,0.0010418861531221,0.0016758874305451,0.0,0.0029913704042885,0.00296005915185768
