Gene,SHAP_Importance
SYT17,0.3539720096815321
EGR1,0.2707088822482741
GRIA3,0.2686074093601356
GFAP,0.21993400220330273
SLC14A1,0.1964351389933846
CACNB4,0.15763296877563612
SLC7A2,0.1555038412932088
GABRD,0.1514481564692177
KCNAB1,0.1489202034359319
NETO2,0.14823634702504176
SLC9A7,0.14175004701301297
RFX4,0.13949705109070165
PRMT8,0.131698110334732
KCNIP2,0.12686421955958788
LDB2,0.11495603353264092
MMD,0.11412403440857803
CP,0.11252245829891269
BCL11B,0.11228329942108996
TPBG,0.09032778720115299
ITPKB,0.07983764817183812
CHRM3,0.07400398388475544
MCTP1,0.0720586510285007
ANGPTL4,0.07199604700035174
MYT1L,0.06347683518792903
PAK3,0.0624441031008709
GREM2,0.05700565961652669
SCN2B,0.05458985278324427
PRKCG,0.05305549628308582
TNC,0.0507413513919756
GRAMD3,0.05048428615925
KCNN3,0.046925521002995414
FGF14,0.04380027341164417
CAMK4,0.042070618242523346
PENK,0.03959020656629931
DNALI1,0.026758236361196057
