Model,Validation AUC,Accuracy,Macro F1,Recall (HD)
Extra Trees,0.8843360785427401,0.7993630573248408,0.7955285435207293,0.9363057324840764
TabNet,0.8819830419083939,0.7898089171974523,0.7897321428571429,0.8089171974522293
Stacked Ensemble,0.8818207635198182,0.802547770700637,0.8004755462632722,0.9044585987261147
Logistic Regression (Standard),0.8761410199196722,0.7898089171974523,0.7897321428571429,0.8089171974522293
Random Forest,0.8727331737595846,0.7993630573248408,0.7951558956622589,0.9426751592356688
Support Vector Machine (SVM),0.8721246298024261,0.8057324840764332,0.8048596607406653,0.8726114649681529
CatBoost,0.8713132378595481,0.7993630573248408,0.7971222578891772,0.9044585987261147
Elastic Net GLM,0.8659580510365532,0.7898089171974523,0.7895955165692008,0.821656050955414
Artificial Neural Network (ANN),0.8596697634792486,0.7866242038216561,0.7862578357564489,0.8280254777070064
K-Nearest Neighbors (KNN),0.8237048156111809,0.7547770700636943,0.7500904420808914,0.89171974522293
FT-Transformer,0.7953466672075945,0.6624203821656051,0.6487250928740291,0.8598726114649682
