Model,10-Fold CV AUC,Test AUC (20%),Test Accuracy,Test Macro F1,Test Recall (HD)
Stacked Ensemble,0.8530827067669172,0.867117117117117,0.8,0.798212540148024,0.7916666666666666
CatBoost,0.8519298245614035,0.8519144144144145,0.7294117647058823,0.726993436670856,0.7291666666666666
Artificial Neural Network (ANN),0.8370175438596492,0.8507882882882883,0.7764705882352941,0.7733333333333334,0.7916666666666666
Extra Trees,0.8254260651629073,0.8507882882882882,0.7411764705882353,0.7349773242630385,0.7916666666666666
TabNet,N/A,0.847972972972973,0.7058823529411765,0.7032537355118,0.7083333333333334
Random Forest,0.8396115288220551,0.8443130630630631,0.7529411764705882,0.7479169608812315,0.7916666666666666
Support Vector Machine (SVM),0.8329323308270677,0.8384009009009009,0.7176470588235294,0.7166666666666666,0.6875
Elastic Net GLM,0.8230325814536341,0.8141891891891891,0.7058823529411765,0.7044095145360968,0.6875
Logistic Regression (Standard),0.8101754385964913,0.8079954954954954,0.7411764705882353,0.7382418812989922,0.75
FT-Transformer,0.8291979949874687,0.7911036036036035,0.6823529411764706,0.679514034352744,0.6875
K-Nearest Neighbors (KNN),0.8086215538847117,0.785472972972973,0.7294117647058823,0.7288112082119573,0.6875
