Gene,Gene_Risk_Score,mean_log2FC
ANGPTL4,0.1143534537546439,1.092685966799218
BCL11B,0.1668367871549404,-1.1708747494366396
CACNB4,0.1433939054341017,-0.9483616580900208
CAMK4,0.0898971115110776,-0.8948991418577913
CHRM3,0.4124394628540416,-0.996131315136625
CP,0.0145401719123519,1.0303713790885531
DNALI1,0.0241822594137432,1.1189719171166657
EGR1,0.2016046041274435,-0.9362954226932798
FGF14,0.1526439198294035,-0.9257379326281095
GABRD,0.2664922517413396,-1.073400500753274
GFAP,0.0793503512747993,1.1577179597152008
GRAMD3,0.0649979371658808,1.0178655283373566
GREM2,0.0186041267811255,-0.9071661230404494
GRIA3,0.5008250241395735,-0.8720448497695982
ITPKB,0.0176263511659837,1.0366877921899
KCNAB1,0.1105700818932195,-0.8539451157434185
KCNIP2,0.0602371489837506,-0.9483895044985436
KCNN3,0.1130227264249763,0.8929843532135756
LDB2,0.0329157062161384,-0.9113173968884428
MCTP1,0.099538541749663,-0.9877969486598662
MMD,0.2148911982613162,-0.9395434585906196
MYT1L,0.0592766803603,-0.8655828824139933
NETO2,0.0678064950312137,-0.9514275984191324
PAK3,0.0788323823835018,-0.8573537097932805
PENK,0.0700783940438757,-0.971313153980446
PRKCG,0.1381612690512628,-0.9115303365042828
PRMT8,0.024197773056653,-0.9154448349572286
RFX4,0.0496144606488821,0.9306518288928703
SCN2B,0.0237605545700168,-1.0028502455018948
SLC14A1,0.2460926112283955,1.476523120230951
SLC7A2,0.0940926683709935,1.4587416487998233
SLC9A7,0.1855270488006435,-0.9904786943971556
SYT17,0.2051452150575442,0.9742232366057504
TNC,0.0029600591518576,0.8714435188423358
TPBG,0.059915807375991,-1.2517156637301918
