Gene,SHAP_Importance
GRIA3,1.187052486670105
CHRM3,1.0409357030679418
GABRD,0.6497232973373485
SLC14A1,0.5835727486922248
MMD,0.512265262023973
SYT17,0.48822483857463217
EGR1,0.4628958294823681
SLC9A7,0.4513543118698112
BCL11B,0.40427630448637375
FGF14,0.3881739666852848
PRKCG,0.3455538102275252
CACNB4,0.34350373365705983
KCNN3,0.3062321103922619
ANGPTL4,0.28910033234227317
KCNAB1,0.26184725911997125
MCTP1,0.2569689466010758
CAMK4,0.24098977331713872
SLC7A2,0.21806639976916303
PAK3,0.21764319320902667
GRAMD3,0.19168247128955593
GFAP,0.17089534814978996
NETO2,0.17065596422197715
PENK,0.16959618636372295
KCNIP2,0.16002674340112055
TPBG,0.15447130770495351
MYT1L,0.1513178941389807
RFX4,0.11767512977527271
LDB2,0.08774365655738921
SCN2B,0.07618367897123432
DNALI1,0.0673768982570135
ITPKB,0.05212619501836453
GREM2,0.05147523104746287
PRMT8,0.043376799874604736
CP,0.022610520687509992
TNC,0.0016758874305451404
