Sample_ID,Risk_Score,Risk_Category
GSM86787,0.2714847006093398,Medium Risk
GSM86788,1.856050729565475,High Risk
GSM86789,-0.0044449712807855,Medium Risk
GSM86790,1.450705652814405,High Risk
GSM86791,-0.9570608443374472,Low Risk
GSM86792,0.0988964099244901,Medium Risk
GSM86793,-1.1826010319621776,Low Risk
GSM86794,0.5469531024034124,Medium Risk
GSM86795,-1.3581005165449815,Low Risk
GSM86796,-1.082346599379646,Low Risk
GSM86797,-1.3616479279177995,Low Risk
GSM86798,-0.855747209660088,Low Risk
GSM86799,0.3728467793170145,Medium Risk
GSM86800,1.8894083312786776,High Risk
GSM86801,-1.1453201690498864,Low Risk
GSM86802,-1.64892456316009,Low Risk
GSM86803,-0.7230809725089398,Low Risk
GSM86804,2.0935359363080948,High Risk
GSM86805,0.441248036013243,Medium Risk
GSM86806,2.0756634680009314,High Risk
GSM86807,1.8434514611338375,High Risk
GSM86808,-0.2007871415618315,Medium Risk
GSM86809,2.967779545845814,High Risk
GSM86810,1.238609950249113,High Risk
GSM86811,2.559117848993849,High Risk
GSM86812,-0.7087376858280341,Low Risk
GSM86813,0.1201671881308823,Medium Risk
GSM86814,0.0408344780091084,Medium Risk
GSM86815,1.449192055428101,High Risk
GSM86816,-0.6931703184837543,Low Risk
GSM86817,-0.8441650195763747,Low Risk
GSM86818,-0.6455553148085384,Low Risk
GSM86819,-0.3280529870431224,Medium Risk
GSM86820,-0.8412117701261027,Low Risk
GSM86821,-0.8628215122034731,Low Risk
GSM86822,-1.061468412026305,Low Risk
GSM86823,-0.6503804478171513,Low Risk
GSM86824,-0.8219715473762388,Low Risk
GSM86825,0.0026258240109547,Medium Risk
GSM86826,-1.1071759693894108,Low Risk
GSM86827,-1.0785579676335844,Low Risk
GSM86828,-0.9158849035008436,Low Risk
GSM86829,-0.9535117181835792,Low Risk
GSM86830,-0.3245084606288205,Medium Risk
GSM86831,-1.0722473357164015,Low Risk
GSM86832,-0.991611719860468,Low Risk
GSM86833,-0.6019916163995341,Low Risk
GSM86834,1.7693799729698338,High Risk
GSM86835,0.1119742368457833,Medium Risk
GSM86836,-0.0774977291849533,Medium Risk
GSM86837,1.8348178544020723,High Risk
GSM86838,1.0723597600669237,High Risk
GSM86839,0.0811045213069553,Medium Risk
GSM86840,0.9478156046239165,High Risk
GSM86841,2.244070855696315,High Risk
GSM86842,0.3807390819489163,Medium Risk
GSM86843,0.680160873526119,Medium Risk
GSM86844,1.1581969186538392,High Risk
GSM86845,1.104569870633994,High Risk
GSM86846,2.529514353495157,High Risk
GSM86847,1.7670174295578671,High Risk
GSM86848,0.7646000031848512,Medium Risk
GSM86849,0.6059842271049156,Medium Risk
GSM86850,-0.1826530566577182,Medium Risk
GSM86851,1.1281333869252046,High Risk
GSM86852,0.5189800270392266,Medium Risk
GSM86853,1.0093338169496866,High Risk
GSM86854,2.7524927371564587,High Risk
GSM86855,0.9864325987272446,High Risk
GSM86856,-0.7024204179308372,Low Risk
GSM86927,0.3502667489288683,Medium Risk
GSM86928,-0.0369011102797988,Medium Risk
GSM86929,-0.3543825212405144,Medium Risk
GSM86930,-0.7271201724511406,Low Risk
GSM86931,-0.8637390505109899,Low Risk
GSM86932,-1.7211787316845697,Low Risk
GSM86933,-0.7255542202760389,Low Risk
GSM86934,-0.4562476506595042,Low Risk
GSM86935,-1.3143363875457323,Low Risk
GSM86936,-0.6550058366973356,Low Risk
GSM86937,-0.7340735068800603,Low Risk
GSM86938,-0.2414286862239897,Medium Risk
GSM86939,-0.4946924196337317,Low Risk
GSM86940,-0.9975587721350364,Low Risk
GSM86941,0.1391684783621762,Medium Risk
GSM86942,-1.3158120311395645,Low Risk
GSM86943,-1.1909121310195256,Low Risk
GSM86944,-0.5405902148906899,Low Risk
GSM86945,-0.6793262779757469,Low Risk
GSM86946,-0.4945578564465837,Low Risk
GSM86947,-0.3956251001839191,Medium Risk
GSM86948,0.1105161580512228,Medium Risk
GSM86949,-0.2824195668072473,Medium Risk
GSM86950,-0.4378169997863649,Low Risk
GSM86951,0.1468679614731122,Medium Risk
GSM86952,-1.0283216687801344,Low Risk
GSM86953,0.1295682971861373,Medium Risk
GSM86954,-0.4229356125518314,Medium Risk
GSM86955,-0.3772716556017202,Medium Risk
GSM86956,-0.6954664528715695,Low Risk
GSM86957,-0.9306831014418944,Low Risk
GSM86958,-0.9426767024001546,Low Risk
GSM86959,-0.844048159143221,Low Risk
GSM86960,-1.1749428605589176,Low Risk
GSM86961,-1.2373349480019906,Low Risk
GSM86962,-1.2381942776536274,Low Risk
GSM86963,-1.198408643657604,Low Risk
GSM86964,-0.8040435289049009,Low Risk
GSM86965,-1.1431593472874946,Low Risk
GSM86966,-0.1935264911137966,Medium Risk
GSM86967,-1.2621141056936585,Low Risk
GSM86968,-1.1236140237554737,Low Risk
GSM86969,-0.6030661156032203,Low Risk
GSM86970,-0.8157397645381419,Low Risk
GSM86971,-0.6196543286767155,Low Risk
GSM86972,-0.9382689430674644,Low Risk
GSM86973,0.3875192465252079,Medium Risk
GSM86974,-0.5492243045333438,Low Risk
GSM86975,-0.3688230525910017,Medium Risk
GSM86976,0.4290498881008484,Medium Risk
GSM86977,0.3580274207442156,Medium Risk
GSM86978,-0.3472666272754957,Medium Risk
GSM86979,-0.5503575238250903,Low Risk
GSM86980,-0.1603635648936891,Medium Risk
GSM86981,0.1001266887774552,Medium Risk
GSM86982,-0.0066723242449744,Medium Risk
GSM86983,-0.2635060347179875,Medium Risk
GSM86984,-0.3454217119823596,Medium Risk
GSM86985,0.0261326252002556,Medium Risk
GSM86986,0.072070011256157,Medium Risk
GSM86987,-0.0625674023822803,Medium Risk
GSM86988,-1.3286723225830288,Low Risk
GSM86989,-0.7093233536036988,Low Risk
GSM86990,-0.0591016989785098,Medium Risk
GSM86991,-1.0815826609407604,Low Risk
GSM87058,0.0019461036403042,Medium Risk
GSM87059,0.4694892039731076,Medium Risk
GSM87060,1.8615163223012527,High Risk
GSM87061,0.0345416109248034,Medium Risk
GSM87062,-0.0479277496342546,Medium Risk
GSM87063,0.2645411007272192,Medium Risk
GSM87064,-0.146859238472578,Medium Risk
GSM87065,-0.5014134410267763,Low Risk
GSM87066,0.3666665701527717,Medium Risk
GSM87067,0.1557693381785378,Medium Risk
GSM87068,-0.4470654651529311,Low Risk
GSM87069,0.6571716316578669,Medium Risk
GSM87070,0.1018008101116949,Medium Risk
GSM87071,0.0685458970411078,Medium Risk
GSM87072,0.0671398511990747,Medium Risk
GSM87073,-0.2718462704290997,Medium Risk
GSM87074,0.2286212871391965,Medium Risk
GSM87075,0.7764360811759935,Medium Risk
GSM87076,0.4709092639305843,Medium Risk
GSM87077,-0.2409087192307965,Medium Risk
GSM87078,0.6409598974439326,Medium Risk
GSM87079,0.6007958991471184,Medium Risk
GSM87080,0.2491763545851694,Medium Risk
GSM87081,0.4300975813878482,Medium Risk
GSM87082,0.7879976495471156,Medium Risk
GSM87083,0.0262705700401384,Medium Risk
GSM87084,0.5895722763161021,Medium Risk
GSM87085,0.5598500185805424,Medium Risk
GSM87086,0.2386515422008859,Medium Risk
GSM87087,0.5609804844443838,Medium Risk
GSM87088,0.0072775218223771,Medium Risk
GSM87089,0.8819106627338993,Medium Risk
GSM87090,-0.0437311667244743,Medium Risk
GSM87091,-0.3508674146800074,Medium Risk
GSM87092,-0.2145575084046868,Medium Risk
GSM87093,-0.020360473371556,Medium Risk
GSM87094,-0.0634018827842642,Medium Risk
GSM87095,-0.1104038041984437,Medium Risk
GSM87096,0.6728170032113776,Medium Risk
GSM87097,-0.052738214089695,Medium Risk
