Gene,SHAP_Importance
EGR1,0.040816147116532794
GRIA3,0.036799662175106086
SLC14A1,0.03615879775293994
SLC7A2,0.02420321582493385
GFAP,0.022854905457304172
SLC9A7,0.0227245367705592
CACNB4,0.020427984450327136
MMD,0.015429435922096463
SYT17,0.013878614993327818
CP,0.013267678182009832
GABRD,0.013057931190388993
KCNAB1,0.012191646716511313
PRMT8,0.01066572226805719
BCL11B,0.009752352827799135
RFX4,0.007253134778199402
PRKCG,0.007097255916424089
ITPKB,0.007061069751244883
KCNN3,0.006724627247002351
PENK,0.005440773245488435
PAK3,0.0054232898867375865
ANGPTL4,0.003480700170111109
TPBG,0.0031349541944877004
KCNIP2,0.0026758448174031032
GREM2,0.0021053010368044375
FGF14,0.002068339455732574
MCTP1,0.0014097695478608031
LDB2,0.0012611799339424926
MYT1L,0.0011028231129346637
TNC,0.0010418861531221188
CHRM3,0.0005407541840247545
NETO2,0.0004970513470363246
GRAMD3,0.00047027088815360194
DNALI1,0.0003345186139900718
SCN2B,0.0001423699727217287
CAMK4,8.696807775173896e-05
