Gene,SHAP_Importance,Biological_Effect
GRIA3,0.03570950310908376,Down-regulated (Low Expression = High Risk)
SYT17,0.034520784203421424,Up-regulated (High Expression = High Risk)
EGR1,0.03281474685337903,Down-regulated (Low Expression = High Risk)
SLC14A1,0.028326341170554287,Up-regulated (High Expression = High Risk)
GFAP,0.025078485899548905,Up-regulated (High Expression = High Risk)
CACNB4,0.017801311307865966,Down-regulated (Low Expression = High Risk)
MMD,0.016776198032526383,Down-regulated (Low Expression = High Risk)
SLC9A7,0.015597911477322748,Down-regulated (Low Expression = High Risk)
GABRD,0.01512114147340008,Down-regulated (Low Expression = High Risk)
BCL11B,0.015120159244010995,Down-regulated (Low Expression = High Risk)
PRMT8,0.013920763655860985,Down-regulated (Low Expression = High Risk)
KCNAB1,0.013243083305578924,Down-regulated (Low Expression = High Risk)
NETO2,0.012198593307692629,Down-regulated (Low Expression = High Risk)
RFX4,0.011367468026356574,Up-regulated (High Expression = High Risk)
SLC7A2,0.010937909373490788,Up-regulated (High Expression = High Risk)
CP,0.010699838208481438,Up-regulated (High Expression = High Risk)
PAK3,0.009563161906609875,Down-regulated (Low Expression = High Risk)
ITPKB,0.009478477439092976,Up-regulated (High Expression = High Risk)
KCNIP2,0.008758541120500256,Down-regulated (Low Expression = High Risk)
ANGPTL4,0.006776175304163236,Down-regulated (Low Expression = High Risk)
FGF14,0.004849003697956988,Down-regulated (Low Expression = High Risk)
PRKCG,0.00431667708313557,Up-regulated (High Expression = High Risk)
KCNN3,0.004081520414129465,Up-regulated (High Expression = High Risk)
CHRM3,0.003988035043144009,Down-regulated (Low Expression = High Risk)
PENK,0.0034726886305048153,Down-regulated (Low Expression = High Risk)
MCTP1,0.003246755517395687,Down-regulated (Low Expression = High Risk)
LDB2,0.0031103792935202063,Down-regulated (Low Expression = High Risk)
TNC,0.0029913704042885524,Up-regulated (High Expression = High Risk)
GREM2,0.0022398884316099307,Down-regulated (Low Expression = High Risk)
SCN2B,0.002131155587394206,Down-regulated (Low Expression = High Risk)
TPBG,0.0018464863881256816,Down-regulated (Low Expression = High Risk)
GRAMD3,0.001375584260870728,Up-regulated (High Expression = High Risk)
CAMK4,0.0013237989472905092,Up-regulated (High Expression = High Risk)
MYT1L,0.0009240935036041982,Down-regulated (Low Expression = High Risk)
DNALI1,0.0005178506555174016,Down-regulated (Low Expression = High Risk)
